Label	Probeset	NCBIGeneID	GeneSymbol	Chromosome	MapLocation
ZNF436	80818	80818	ZNF436	1	1p36
TCEA3	6920	6920	TCEA3	1	1p36.12
ASAP3	55616	55616	ASAP3	1	1p36.12
E2F2	1870	1870	E2F2	1	1p36
ID3	3399	3399	ID3	1	1p36.13-p36.12
RPL11	6135	6135	RPL11	1	1p36.1-p35
TCEB3	6924	6924	TCEB3	1	1p36.1
PITHD1	57095	57095	PITHD1	1	1p36.11
LYPLA2	11313	11313	LYPLA2	1	1p36.11
GALE	2582	2582	GALE	1	1p36-p35
HMGCL	3155	3155	HMGCL	1	1p36.1-p35
FUCA1	2517	2517	FUCA1	1	1p34
PNRC2	55629	55629	PNRC2	1	1p36.11
SRSF10	10772	10772	SRSF10	1	1p36.11
MYOM3	127294	127294	MYOM3	1	1p36.11
IL22RA1	58985	58985	IL22RA1	1	1p36.11
IFNLR1	163702	163702	IFNLR1	1	1p36.11
STPG1	90529	90529	STPG1	1	1p36.11
NIPAL3	57185	57185	NIPAL3	1	1p36.12-p35.1
RCAN3	11123	11123	RCAN3	1	1p36.11
SRRM1	10250	10250	SRRM1	1	1p36.11
CLIC4	25932	25932	CLIC4	1	1p36.11
RUNX3	864	864	RUNX3	1	1p36
SYF2	25949	25949	SYF2	1	1p36.11
RSRP1	57035	57035	RSRP1	1	1p36.13-p35.1
TMEM50A	23585	23585	TMEM50A	1	1p36.11
TMEM57	55219	55219	TMEM57	1	1p36.11|1p36.11
LDLRAP1	26119	26119	LDLRAP1	1	1p36.11
MAN1C1	57134	57134	MAN1C1	1	1p35
SEPN1	57190	57190	SEPN1	1	1p36.13
MTFR1L	56181	56181	MTFR1L	1	1p36.11
PAQR7	164091	164091	PAQR7	1	1p36.11
STMN1	3925	3925	STMN1	1	1p36.11
PAFAH2	5051	5051	PAFAH2	1	1p36
PDIK1L	149420	149420	PDIK1L	1	1p36.11
ZNF593	51042	51042	ZNF593	1	1p36.11
CNKSR1	10256	10256	CNKSR1	1	1p36.11
CEP85	64793	64793	CEP85	1	1p36.11
SH3BGRL3	83442	83442	SH3BGRL3	1	1p36.11
UBXN11	91544	91544	UBXN11	1	1p36.11
CD52	1043	1043	CD52	1	1p36
AIM1L	55057	55057	AIM1L	1	1p36.11
DHDDS	79947	79947	DHDDS	1	1p36.11
HMGN2	3151	3151	HMGN2	1	1p36.1
RPS6KA1	6195	6195	RPS6KA1	1	1p
ARID1A	8289	8289	ARID1A	1	1p35.3
PIGV	55650	55650	PIGV	1	1p36.11
ZDHHC18	84243	84243	ZDHHC18	1	1p36.11
SFN	2810	2810	SFN	1	1p36.11
GPN2	54707	54707	GPN2	1	1p36.11
GPATCH3	63906	63906	GPATCH3	1	1p35.3-p35.1
NR0B2	8431	8431	NR0B2	1	1p36.1
NUDC	10726	10726	NUDC	1	1p36.11
KDF1	126695	126695	KDF1	1	1p36.11
TRNP1	388610	388610	TRNP1	1	1p36.11
SLC9A1	6548	6548	SLC9A1	1	1p36.1-p35
WDTC1	23038	23038	WDTC1	1	1p36.11
TMEM222	84065	84065	TMEM222	1	1p36.11
SYTL1	84958	84958	SYTL1	1	1p36.11
MAP3K6	9064	9064	MAP3K6	1	1p36.11
WASF2	10163	10163	WASF2	1	1p36.11
AHDC1	27245	27245	AHDC1	1	1p36.13
FGR	2268	2268	FGR	1	1p36.2-p36.1
IFI6	2537	2537	IFI6	1	1p35
FAM76A	199870	199870	FAM76A	1	1p35.3
STX12	23673	23673	STX12	1	1p35.3
PPP1R8	5511	5511	PPP1R8	1	1p35.3
THEMIS2	9473	9473	THEMIS2	1	1p35.3
RPA2	6118	6118	RPA2	1	1p35
SMPDL3B	27293	27293	SMPDL3B	1	1p35.3
XKR8	55113	55113	XKR8	1	1p35.3
EYA3	2140	2140	EYA3	1	1p36
PTAFR	5724	5724	PTAFR	1	1p35-p34.3
DNAJC8	22826	22826	DNAJC8	1	1p35.3
ATPIF1	93974	93974	ATPIF1	1	1p35.3
SESN2	83667	83667	SESN2	1	1p35.3
MED18	54797	54797	MED18	1	1p35.3
PHACTR4	65979	65979	PHACTR4	1	1p35.3
RCC1	1104	1104	RCC1	1	1p36.1
SNHG3	8420	8420	SNHG3	1	1p36.1
TRNAU1AP	54952	54952	TRNAU1AP	1	1p35.3
SNHG12	85028	85028	SNHG12	1	1p35.3
SNORD99	692212	692212	SNORD99	1	1p35.3
RAB42	115273	115273	RAB42	1	1p35.3
TAF12	6883	6883	TAF12	1	1p35.3
GMEB1	10691	10691	GMEB1	1	1p35.3
YTHDF2	51441	51441	YTHDF2	1	1p35
EPB41	2035	2035	EPB41	1	1p33-p32
TMEM200B	399474	399474	TMEM200B	1	1p35
SRSF4	6429	6429	SRSF4	1	1p35.3
MECR	51102	51102	MECR	1	1p35.3
LAPTM5	7805	7805	LAPTM5	1	1p34
SDC3	9672	9672	SDC3	1	1p35.2
PUM1	9698	9698	PUM1	1	1p35.2
SNRNP40	9410	9410	SNRNP40	1	1p35.2
ZCCHC17	51538	51538	ZCCHC17	1	1p35.2
SERINC2	347735	347735	SERINC2	1	1p35.1
TINAGL1	64129	64129	TINAGL1	1	1p35.2
PEF1	553115	553115	PEF1	1	1p34
COL16A1	1307	1307	COL16A1	1	1p35-p34
PTP4A2	8073	8073	PTP4A2	1	1p35
KHDRBS1	10657	10657	KHDRBS1	1	1p32
TMEM39B	55116	55116	TMEM39B	1	1p35.1
KPNA6	23633	23633	KPNA6	1	1p35.1
TXLNA	200081	200081	TXLNA	1	1p35.1
CCDC28B	79140	79140	CCDC28B	1	1p36.11-p34.2
IQCC	55721	55721	IQCC	1	1p36.11-p34.2
TMEM234	56063	56063	TMEM234	1	1p36.11-p34.2
EIF3I	8668	8668	EIF3I	1	1p34.1
MTMR9LP	339483	339483	MTMR9LP	1	1p35.1
FAM167B	84734	84734	FAM167B	1	1p35.1
LCK	3932	3932	LCK	1	1p34.3
HDAC1	3065	3065	HDAC1	1	1p34
MARCKSL1	65108	65108	MARCKSL1	1	1p35.1
TSSK3	81629	81629	TSSK3	1	1p35.1
BSDC1	55108	55108	BSDC1	1	1p35.1
ZBTB8OS	339487	339487	ZBTB8OS	1	1p35.1
RBBP4	5928	5928	RBBP4	1	1p35.1
KIAA1522	57648	57648	KIAA1522	1	1p35.1
YARS	8565	8565	YARS	1	1p35.1
S100PBP	64766	64766	S100PBP	1	1p35.1
TMEM54	113452	113452	TMEM54	1	1p35-p34
RNF19B	127544	127544	RNF19B	1	1p35.1
AK2	204	204	AK2	1	1p34
TRIM62	55223	55223	TRIM62	1	1p35.1
ZNF362	149076	149076	ZNF362	1	1p35.1
PHC2	1912	1912	PHC2	1	1p34.3
SMIM12	113444	113444	SMIM12	1	1p34.3
ZMYM6NB	100506144	100506144	ZMYM6NB	1	1p34.3
ZMYM6	9204	9204	ZMYM6	1	1p34.2
ZMYM4	9202	9202	ZMYM4	1	1p32-p34
KIAA0319L	79932	79932	KIAA0319L	1	1p34.2
NCDN	23154	23154	NCDN	1	1p34.3
PSMB2	5690	5690	PSMB2	1	1p34.2
C1orf216	127703	127703	C1orf216	1	1p34.3
AGO4	192670	192670	AGO4	1	1p34
AGO1	26523	26523	AGO1	1	1p34.3
ADPRHL2	54936	54936	ADPRHL2	1	1p34.3
TRAPPC3	27095	27095	TRAPPC3	1	1p34.3
MAP7D1	55700	55700	MAP7D1	1	1p34.3
THRAP3	9967	9967	THRAP3	1	1p34.3
SH3D21	79729	79729	SH3D21	1	1p34.3
EVA1B	55194	55194	EVA1B	1	1p34.3
STK40	83931	83931	STK40	1	1p34.3
LSM10	84967	84967	LSM10	1	1p34.3
MRPS15	64960	64960	MRPS15	1	1p34.3
CSF3R	1441	1441	CSF3R	1	1p35-p34.3
ZC3H12A	80149	80149	ZC3H12A	1	1p34.3
MEAF6	64769	64769	MEAF6	1	1p35.3-p33
SNIP1	79753	79753	SNIP1	1	1p34.3
DNALI1	7802	7802	DNALI1	1	1p35.1
GNL2	29889	29889	GNL2	1	1p34.3
C1orf109	54955	54955	C1orf109	1	1p34.3
CDCA8	55143	55143	CDCA8	1	1p34.3
EPHA10	284656	284656	EPHA10	1	1p34.3
MANEAL	149175	149175	MANEAL	1	1p34.3
YRDC	79693	79693	YRDC	1	1p34.3
C1orf122	127687	127687	C1orf122	1	1p34.3
MTF1	4520	4520	MTF1	1	1p33
INPP5B	3633	3633	INPP5B	1	1p34
SF3A3	10946	10946	SF3A3	1	1p34.3
FHL3	2275	2275	FHL3	1	1p34
UTP11	51118	51118	UTP11	1	1p34.3
RRAGC	64121	64121	RRAGC	1	1p34
MYCBP	26292	26292	MYCBP	1	1p33-p32.2
AKIRIN1	79647	79647	AKIRIN1	1	1p34.3
NDUFS5	4725	4725	NDUFS5	1	1p34.2-p33
MACF1	23499	23499	MACF1	1	1p32-p31
PPIEL	728448	728448	PPIEL	1	1p34.3
PABPC4	8761	8761	PABPC4	1	1p34.2
PPIE	10450	10450	PPIE	1	1p32
BMP8B	656	656	BMP8B	1	1p35-p32
TRIT1	54802	54802	TRIT1	1	1p34.2
MYCL	4610	4610	MYCL	1	1p34.2
MFSD2A	84879	84879	MFSD2A	1	1p34.2
CAP1	10487	10487	CAP1	1	1p34.2
PPT1	5538	5538	PPT1	1	1p32
RLF	6018	6018	RLF	1	1p32
ZMPSTE24	10269	10269	ZMPSTE24	1	1p34
COL9A2	1298	1298	COL9A2	1	1p33-p32
SMAP2	64744	64744	SMAP2	1	1p35.3-p34.1
EXO5	64789	64789	EXO5	1	1p34.2
NFYC	4802	4802	NFYC	1	1p32
CTPS1	1503	1503	CTPS1	1	1p34.1
SCMH1	22955	22955	SCMH1	1	1p34
EDN2	1907	1907	EDN2	1	1p34
GUCA2B	2981	2981	GUCA2B	1	1p34-p33
GUCA2A	2980	2980	GUCA2A	1	1p35-p34
FOXJ3	22887	22887	FOXJ3	1	1p34.2
PPCS	79717	79717	PPCS	1	1p34.2
PPIH	10465	10465	PPIH	1	1p34.1
YBX1	4904	4904	YBX1	1	1p34
P3H1	64175	64175	P3H1	1	1p34.1
C1orf50	79078	79078	C1orf50	1	1p34.2
SVBP	374969	374969	SVBP	1	1p34.2
ERMAP	114625	114625	ERMAP	1	1p34.2
ZNF691	51058	51058	ZNF691	1	1p34.2
SLC2A1	6513	6513	SLC2A1	1	1p34.2
EBNA1BP2	10969	10969	EBNA1BP2	1	1p35-p33
TMEM125	128218	128218	TMEM125	1	1p34.2
C1orf210	149466	149466	C1orf210	1	1p34.2
TIE1	7075	7075	TIE1	1	1p34-p33
CDC20	991	991	CDC20	1	1p34.1
ELOVL1	64834	64834	ELOVL1	1	1p34.2
MED8	112950	112950	MED8	1	1p34.2
SZT2	23334	23334	SZT2	1	1p34.2
PTPRF	5792	5792	PTPRF	1	1p34
KDM4A	9682	9682	KDM4A	1	1p34.1
IPO13	9670	9670	IPO13	1	1p34.1
DPH2	1802	1802	DPH2	1	1p34
ATP6V0B	533	533	ATP6V0B	1	1p32.3
B4GALT2	8704	8704	B4GALT2	1	1p34-p33
SLC6A9	6536	6536	SLC6A9	1	1p33
CCDC24	149473	149473	CCDC24	1	1p34.1
DMAP1	55929	55929	DMAP1	1	1p34
ERI3	79033	79033	ERI3	1	1p32
RNF220	55182	55182	RNF220	1	1p34.1
TMEM53	79639	79639	TMEM53	1	1p34.1
KIF2C	11004	11004	KIF2C	1	1p34.1
RPS8	6202	6202	RPS8	1	1p34.1-p32
BEST4	266675	266675	BEST4	1	1p34.1
PLK3	1263	1263	PLK3	1	1p34.1
EIF2B3	8891	8891	EIF2B3	1	1p34.1
HECTD3	79654	79654	HECTD3	1	1p34.1
UROD	7389	7389	UROD	1	1p34
ZSWIM5	57643	57643	ZSWIM5	1	1p34.1
MUTYH	4595	4595	MUTYH	1	1p34.1
TOE1	114034	114034	TOE1	1	1p33
TESK2	10420	10420	TESK2	1	1p32
MMACHC	25974	25974	MMACHC	1	1p34.1
PRDX1	5052	5052	PRDX1	1	1p34.1
AKR1A1	10327	10327	AKR1A1	1	1p33-p32
NASP	4678	4678	NASP	1	1p34.1
GPBP1L1	60313	60313	GPBP1L1	1	1p34.1
TMEM69	51249	51249	TMEM69	1	1p34.1
IPP	3652	3652	IPP	1	1p34-p32
MAST2	23139	23139	MAST2	1	1p34.1
PIK3R3	8503	8503	PIK3R3	1	1p34.1
TSPAN1	10103	10103	TSPAN1	1	1p34.1
POMGNT1	55624	55624	POMGNT1	1	1p34.1
RAD54L	8438	8438	RAD54L	1	1p32
LRRC41	10489	10489	LRRC41	1	1p34.1
UQCRH	7388	7388	UQCRH	1	1p34.1
NSUN4	387338	387338	NSUN4	1	1p34
FAAH	2166	2166	FAAH	1	1p35-p34
MKNK1	8569	8569	MKNK1	1	1p33
MOB3C	148932	148932	MOB3C	1	1p33
ATPAF1	64756	64756	ATPAF1	1	1p33
EFCAB14	9813	9813	EFCAB14	1	1p33
PDZK1IP1	10158	10158	PDZK1IP1	1	1p33
CMPK1	51727	51727	CMPK1	1	1p32
SLC5A9	200010	200010	SLC5A9	1	1p33
FAF1	11124	11124	FAF1	1	1p33
CDKN2C	1031	1031	CDKN2C	1	1p32
RNF11	26994	26994	RNF11	1	1p32
TTC39A	22996	22996	TTC39A	1	1p32.3
EPS15	2060	2060	EPS15	1	1p32
OSBPL9	114883	114883	OSBPL9	1	1p32.3
NRDC	4898	4898	NRDC	1	1p32.2-p32.1
TXNDC12	51060	51060	TXNDC12	1	1p32.3
KTI12	112970	112970	KTI12	1	1p32.3
BTF3L4	91408	91408	BTF3L4	1	1p32.3
ZFYVE9	9372	9372	ZFYVE9	1	1p32.3
CC2D1B	200014	200014	CC2D1B	1	1p32.3
ORC1	4998	4998	ORC1	1	1p32
PRPF38A	84950	84950	PRPF38A	1	1p32.3
ZCCHC11	23318	23318	ZCCHC11	1	1p32.3
GPX7	2882	2882	GPX7	1	1p32
COA7	65260	65260	COA7	1	1p32.3
ZYG11B	79699	79699	ZYG11B	1	1p32.3
ECHDC2	55268	55268	ECHDC2	1	1p32.3
SCP2	6342	6342	SCP2	1	1p32
PODN	127435	127435	PODN	1	1p32.3
SLC1A7	6512	6512	SLC1A7	1	1p32.3
CPT2	1376	1376	CPT2	1	1p32
C1orf123	54987	54987	C1orf123	1	1p32.3
MAGOH	4116	4116	MAGOH	1	1p32.3
NDC1	55706	55706	NDC1	1	1p32.3
YIPF1	54432	54432	YIPF1	1	1p33-p32.1
HSPB11	51668	51668	HSPB11	1	1p32
LRRC42	115353	115353	LRRC42	1	1p33-p32.1
TMEM59	9528	9528	TMEM59	1	1p32.3
MRPL37	51253	51253	MRPL37	1	1p32.1
SSBP3	23648	23648	SSBP3	1	1p32.3
ACOT11	26027	26027	ACOT11	1	1p32.3
FAM151A	338094	338094	FAM151A	1	None
TTC4	7268	7268	TTC4	1	1p32.3
PARS2	25973	25973	PARS2	1	1p32.2
TTC22	55001	55001	TTC22	1	1p32.3
DHCR24	1718	1718	DHCR24	1	1p32.3
TMEM61	199964	199964	TMEM61	1	1p32.3
USP24	23358	23358	USP24	1	1p32.3
PLPP3	8613	8613	PLPP3	1	1p32.2
DAB1	1600	1600	DAB1	1	1p32.2
OMA1	115209	115209	OMA1	1	1p32.2-p32.1
MYSM1	114803	114803	MYSM1	1	1p32.1
JUN	3725	3725	JUN	1	1p32-p31
FGGY	55277	55277	FGGY	1	1p32.1
HOOK1	51361	51361	HOOK1	1	1p32.1
CYP2J2	1573	1573	CYP2J2	1	1p31.3-p31.2
NFIA	4774	4774	NFIA	1	1p31.3-p31.2
TM2D1	83941	83941	TM2D1	1	1p31.3
PATJ	10207	10207	PATJ	1	1p31.3
USP1	7398	7398	USP1	1	1p31.3
DOCK7	85440	85440	DOCK7	1	1p31.3
ATG4C	84938	84938	ATG4C	1	1p31.3
ALG6	29929	29929	ALG6	1	1p31.3
ITGB3BP	23421	23421	ITGB3BP	1	1p31.3
PGM1	5236	5236	PGM1	1	1p31
RAVER2	55225	55225	RAVER2	1	1p31.3
JAK1	3716	3716	JAK1	1	1p32.3-p31.3
LEPR	3953	3953	LEPR	1	1p31
LEPROT	54741	54741	LEPROT	1	1p31.3
PDE4B	5142	5142	PDE4B	1	1p31
MIER1	57708	57708	MIER1	1	1p31.3
SLC35D1	23169	23169	SLC35D1	1	1p31.3
SERBP1	26135	26135	SERBP1	1	1p31
GADD45A	1647	1647	GADD45A	1	1p31.2
GNG12	55970	55970	GNG12	1	1p31.3
WLS	79971	79971	WLS	1	1p31.3
LRRC40	55631	55631	LRRC40	1	1p31.1
SRSF11	9295	9295	SRSF11	1	1p31
ANKRD13C	81573	81573	ANKRD13C	1	1p31.1
HHLA3	11147	11147	HHLA3	1	1p31.1
CTH	1491	1491	CTH	1	1p31.1
ZRANB2	9406	9406	ZRANB2	1	1p31
FPGT	8790	8790	FPGT	1	1p31.1
CRYZ	1429	1429	CRYZ	1	1p31.1
TYW3	127253	127253	TYW3	1	1p31.1
ACADM	34	34	ACADM	1	1p31
RABGGTB	5876	5876	RABGGTB	1	1p31
PIGK	10026	10026	PIGK	1	1p31.1
ZZZ3	26009	26009	ZZZ3	1	1p31.1
USP33	23032	23032	USP33	1	1p31.1
FAM73A	374986	374986	FAM73A	1	1p31.1
NEXN	91624	91624	NEXN	1	1p31.1
FUBP1	8880	8880	FUBP1	1	1p31.1
DNAJB4	11080	11080	DNAJB4	1	1p31.1
GIPC2	54810	54810	GIPC2	1	1p31.1
IFI44	10561	10561	IFI44	1	1p31.1
ADGRL4	64123	64123	ADGRL4	1	1p33-p32
ADGRL2	23266	23266	ADGRL2	1	1p31.1
PRKACB	5567	5567	PRKACB	1	1p31.1
